product_name,packaging_band,lowest_variation_weight,variation,prev_price,new_price,sku,sku_add
Bubble Clip + Washer x 20,3,0.0015,20,3.89,3.89,BUBBLE_CLIP_X_20,1
Bubble Clip + Washer x 40,3,0.0015,40,6.99,6.99,BUBBLE_CLIP_X_40,1
Bubble Clip + Washer x 60,3,0.0015,60,8.99,8.99,BUBBLE_CLIP_X_60,1
Bubble Clip + Washer x 80,3,0.0015,80,11.49,11.49,BUBBLE_CLIP_X_80,1
Bubble Clip + Washer x 100,3,0.0015,100,12.99,12.99,BUBBLE_CLIP_X_100,1
Bubble Clip + Washer x 200,3,0.0015,200,15.99,15.99,BUBBLE_CLIP_X_200,1
Bubble Clip + Washer x 300,3,0.0015,300,18.99,18.99,BUBBLE_CLIP_X_300,1
Bubble Clip + Washer x 400,3,0.0015,400,23.99,23.99,BUBBLE_CLIP_X_400,1
Bubble Clip + Washer x 500,3,0.0015,500,28.99,28.99,BUBBLE_CLIP_X_500,1
Bubble Clip + Washer x 600,3,0.0015,600,32.99,32.99,BUBBLE_CLIP_X_600,1
Bubble Clip + Washer x 700,3,0.0015,700,37.99,37.99,BUBBLE_CLIP_X_700,1
Bubble Clip + Washer x 800,3,0.0015,800,42.99,42.99,BUBBLE_CLIP_X_800,1
Bubble Clip + Washer x 900,3,0.0015,900,46.99,46.99,BUBBLE_CLIP_X_900,1
Bubble Clip + Washer x 1000,3,0.0015,1000,50.99,50.99,BUBBLE_CLIP_X_1000,1
